ReadName	Type	RefName	DelLength	DelLeft	DelRight	ReadLength	LeftLen	RightLen	Overlap	Orientation	Strand	1stOccurrence?
M01715:133:000000000-AF5JT:1:2107:12302:13765	Deletion	68S	270	2799	3068	151	81	74	4	correct	forward	1
M01715:133:000000000-AF5JT:1:2107:27982:16091	Deletion	68S	270	2799	3068	151	106	49	4	correct	forward	1
M01715:133:000000000-AF5JT:1:2116:17950:15161	Deletion	68S	278	2799	3076	151	121	37	7	correct	forward	1
M01715:133:000000000-AF5JT:1:1109:8264:21066	Deletion	68S	412	2655	3066	109	65	47	3	correct	forward	1
M01715:133:000000000-AF5JT:1:2109:23631:16072	Deletion	68S	270	2799	3068	151	83	72	4	correct	forward	1
M01715:133:000000000-AF5JT:1:2101:12244:7949	Deletion	68S	270	2799	3068	151	108	47	4	correct	reverse	1
M01715:133:000000000-AF5JT:1:2108:22883:14245	Deletion	68L	50	2241	2290	151	111	40	0	correct	forward	1
M01715:133:000000000-AF5JT:1:2113:15956:6075	Deletion	68S	270	2799	3068	151	118	37	4	correct	reverse	1
M01715:133:000000000-AF5JT:1:1105:16365:22020	Deletion	68S	270	2799	3068	151	96	59	4	correct	reverse	0
M01715:133:000000000-AF5JT:1:1112:15054:12506	Deletion	68S	154	2913	3066	151	117	38	4	correct	forward	1
M01715:133:000000000-AF5JT:1:1113:21785:15887	Deletion	68S	1335	740	2074	151	116	39	4	correct	reverse	1
M01715:133:000000000-AF5JT:1:1116:14405:16313	Deletion	68L	102	380	481	151	82	72	3	correct	reverse	1
M01715:133:000000000-AF5JT:1:1113:26984:17059	Deletion	68S	213	1406	1618	151	118	35	2	correct	forward	1
M01715:133:000000000-AF5JT:1:1102:17734:14589	Deletion	68L	158	2195	2352	151	88	65	2	correct	forward	1
M01715:133:000000000-AF5JT:1:1119:16077:6563	Deletion	68L	1777	1852	3628	133	103	33	3	correct	forward	1
M01715:133:000000000-AF5JT:1:2103:13089:22729	Deletion	68S	112	2662	2773	151	126	36	11	correct	reverse	0
M01715:133:000000000-AF5JT:1:1111:5678:12452	Deletion	68S	1465	770	2234	151	87	66	2	correct	reverse	1
M01715:133:000000000-AF5JT:1:2105:22195:18221	Deletion	68S	587	2482	3068	151	94	59	2	correct	reverse	1
M01715:133:000000000-AF5JT:1:1116:3914:17901	Deletion	68L	5010	1001	6010	151	86	66	1	correct	reverse	1
M01715:133:000000000-AF5JT:1:1118:9139:8851	Deletion	68S	270	2799	3068	151	119	36	4	correct	forward	1
M01715:133:000000000-AF5JT:1:2112:10677:4245	Deletion	68L	35	418	452	151	123	37	9	correct	reverse	1
M01715:133:000000000-AF5JT:1:1114:6526:22074	Deletion	68S	270	2799	3068	151	115	40	4	correct	reverse	1
M01715:133:000000000-AF5JT:1:1105:27713:6602	Deletion	68L	33	404	436	109	64	50	5	correct	forward	1
M01715:133:000000000-AF5JT:1:2119:22273:4762	Deletion	68S	114	2490	2603	151	100	53	2	correct	forward	1
M01715:133:000000000-AF5JT:1:1101:16944:14551	Deletion	68L	5264	446	5709	109	75	37	3	correct	forward	1
M01715:133:000000000-AF5JT:1:1103:6344:21723	Deletion	68S	312	2722	3033	151	93	63	5	correct	reverse	1
M01715:133:000000000-AF5JT:1:2102:7228:12231	Deletion	68S	270	2799	3068	151	120	35	4	correct	forward	0
M01715:133:000000000-AF5JT:1:1104:13215:4881	Deletion	68S	377	2513	2889	151	113	45	7	correct	forward	1
M01715:133:000000000-AF5JT:1:1105:19363:6056	Deletion	68L	71	1574	1644	151	111	42	2	correct	reverse	1
M01715:133:000000000-AF5JT:1:2102:20614:14274	Deletion	68S	603	2321	2923	151	110	45	4	correct	forward	1
M01715:133:000000000-AF5JT:1:1113:10508:7837	Deletion	68L	63	2276	2338	151	117	35	1	correct	forward	1
M01715:133:000000000-AF5JT:1:2104:15241:7622	Deletion	68S	270	2799	3068	147	108	43	4	correct	reverse	1
M01715:133:000000000-AF5JT:1:1102:23214:21740	Deletion	68L	6540	168	6707	151	102	53	4	correct	forward	1
M01715:133:000000000-AF5JT:1:1107:4793:15946	Deletion	68S	350	2729	3078	151	109	44	2	correct	forward	1
M01715:133:000000000-AF5JT:1:2110:16412:15900	Deletion	68S	487	737	1223	151	84	69	2	correct	forward	1
M01715:133:000000000-AF5JT:1:1116:9605:23932	Deletion	68S	487	737	1223	151	84	69	2	correct	forward	0
M01715:133:000000000-AF5JT:1:1110:17654:11231	Deletion	68S	270	2799	3068	151	97	58	4	correct	forward	1
M01715:133:000000000-AF5JT:1:1115:10753:7991	Deletion	68S	408	2660	3067	151	94	58	2	correct	forward	1
M01715:133:000000000-AF5JT:1:1118:26321:18911	Deletion	68S	412	2655	3066	142	90	55	3	correct	reverse	1
M01715:133:000000000-AF5JT:1:1114:23510:15684	Deletion	68S	270	2799	3068	151	115	40	4	correct	forward	0
M01715:133:000000000-AF5JT:1:2112:3777:9213	Deletion	68S	373	2704	3108	151	110	42	1	correct	forward	1
M01715:133:000000000-AF5JT:1:2103:11352:20612	Deletion	68L	987	3732	4718	151	95	60	4	correct	reverse	1
M01715:133:000000000-AF5JT:1:2104:2985:10597	Deletion	68S	259	2808	3066	151	112	44	5	correct	forward	1
M01715:133:000000000-AF5JT:1:1106:4319:7003	Deletion	68L	5460	1147	6606	151	113	39	1	correct	forward	1
M01715:133:000000000-AF5JT:1:2103:29520:13043	Deletion	68S	270	2799	3068	151	79	76	4	correct	forward	1
M01715:133:000000000-AF5JT:1:2115:13018:14070	Deletion	68S	161	2905	3065	151	74	77	1	correct	forward	1
M01715:133:000000000-AF5JT:1:2106:19619:24213	Deletion	68S	270	2799	3068	151	80	75	4	correct	forward	1
M01715:133:000000000-AF5JT:1:2118:9634:12029	Deletion	68S	343	1358	1700	151	102	50	1	correct	forward	1
M01715:133:000000000-AF5JT:1:1105:13043:7714	Deletion	68S	2601	527	3127	151	78	78	5	correct	forward	1
M01715:133:000000000-AF5JT:1:2119:14745:7812	Deletion	68S	270	2799	3068	151	112	42	4	correct	forward	1
M01715:133:000000000-AF5JT:1:2118:25363:17023	Deletion	68L	5169	887	6055	109	65	46	2	correct	forward	1
M01715:133:000000000-AF5JT:1:1119:24171:6437	Deletion	68S	270	2799	3068	151	83	72	4	correct	forward	0
M01715:133:000000000-AF5JT:1:2102:13113:23805	Deletion	68L	669	1276	1944	151	86	74	9	correct	reverse	1
M01715:133:000000000-AF5JT:1:1105:22980:5695	Deletion	68L	6047	870	6916	151	97	55	1	correct	reverse	1
M01715:133:000000000-AF5JT:1:2112:7789:22764	Deletion	68L	35	418	452	151	114	46	9	correct	forward	1
M01715:133:000000000-AF5JT:1:1119:9768:17032	Deletion	68S	412	2655	3066	151	96	57	3	correct	reverse	1
M01715:133:000000000-AF5JT:1:1116:4974:8787	Deletion	68S	1846	496	2341	151	99	58	6	correct	reverse	1
M01715:133:000000000-AF5JT:1:1107:9247:7123	Deletion	68S	223	2614	2836	151	117	35	1	correct	forward	1
M01715:133:000000000-AF5JT:1:2117:9006:19879	Deletion	68L	4672	276	4947	151	106	49	4	correct	reverse	1
M01715:133:000000000-AF5JT:1:1104:17214:20979	Deletion	68L	312	1636	1947	151	111	45	5	correct	forward	1
M01715:133:000000000-AF5JT:1:2108:21444:19467	Deletion	68S	270	2799	3068	151	121	34	4	correct	reverse	0
M01715:133:000000000-AF5JT:1:1110:19823:20923	Deletion	68L	5556	1035	6590	151	118	34	1	correct	reverse	1
M01715:133:000000000-AF5JT:1:1119:8721:20934	Deletion	68S	412	2655	3066	109	82	30	3	correct	forward	1
M01715:133:000000000-AF5JT:1:1112:17659:17643	Deletion	68L	120	349	468	151	91	64	4	correct	reverse	1
M01715:133:000000000-AF5JT:1:2102:9843:2231	Deletion	68S	2374	77	2450	109	70	44	5	correct	forward	1
M01715:133:000000000-AF5JT:1:1114:26996:11552	Deletion	68S	412	2655	3066	151	97	57	3	correct	forward	0
M01715:133:000000000-AF5JT:1:2102:15031:2343	Deletion	68S	120	1560	1679	151	100	53	2	correct	forward	1
M01715:133:000000000-AF5JT:1:1101:23418:5174	Deletion	68S	270	2799	3068	151	120	35	4	correct	forward	0
M01715:133:000000000-AF5JT:1:2109:14677:3933	Deletion	68L	35	418	452	109	77	41	9	correct	forward	1
M01715:133:000000000-AF5JT:1:2112:11979:24523	Deletion	68S	278	2799	3076	147	107	49	9	correct	forward	1
M01715:133:000000000-AF5JT:1:1101:20902:15104	Deletion	68S	299	1893	2191	151	102	50	1	correct	reverse	1
M01715:133:000000000-AF5JT:1:1112:20045:10910	Deletion	68S	2575	327	2965	151	110	41	0	correct	reverse	1
M01715:133:000000000-AF5JT:1:2107:14520:4879	Deletion	68S	412	2655	3066	151	108	46	3	correct	reverse	1
M01715:133:000000000-AF5JT:1:1105:5675:5920	Deletion	68L	711	1199	1946	126	65	60	0	correct	forward	1
M01715:133:000000000-AF5JT:1:2103:3749:14436	Deletion	68S	111	1571	1681	151	117	38	4	correct	reverse	1
M01715:133:000000000-AF5JT:1:2104:7502:21826	Deletion	68S	270	2799	3068	151	114	41	4	correct	reverse	1
M01715:133:000000000-AF5JT:1:2102:2966:12487	Deletion	68S	174	1446	1619	151	107	43	0	correct	forward	1
M01715:133:000000000-AF5JT:1:2114:25403:16064	Deletion	68S	173	1450	1622	151	114	42	5	correct	reverse	1
M01715:133:000000000-AF5JT:1:1116:19847:16315	Deletion	68S	154	2913	3066	151	107	48	4	correct	forward	1
M01715:133:000000000-AF5JT:1:2112:28018:6871	Deletion	68L	71	1574	1644	151	83	70	2	correct	forward	1
M01715:133:000000000-AF5JT:1:2116:15569:4625	Deletion	68S	270	2799	3068	151	117	38	4	correct	reverse	1
M01715:133:000000000-AF5JT:1:2114:11434:12870	Deletion	68S	270	2799	3068	151	85	70	4	correct	forward	1
M01715:133:000000000-AF5JT:1:2105:6248:15203	Deletion	68S	270	2799	3068	151	96	59	4	correct	forward	0
M01715:133:000000000-AF5JT:1:2119:27412:17169	Deletion	68S	111	2662	2773	109	74	46	11	correct	forward	0
M01715:133:000000000-AF5JT:1:2107:6391:20677	Deletion	68L	61	2260	2320	151	80	72	1	correct	forward	1
M01715:133:000000000-AF5JT:1:1119:2908:15631	Deletion	68L	3371	1914	5284	151	78	75	2	correct	forward	1
M01715:133:000000000-AF5JT:1:1115:16465:19172	Deletion	68S	2457	222	2678	151	98	56	3	correct	reverse	1
M01715:133:000000000-AF5JT:1:1102:23175:7980	Deletion	68L	35	418	452	148	124	33	9	correct	forward	1
M01715:133:000000000-AF5JT:1:1111:28061:11103	Deletion	68L	6470	353	6822	151	105	46	0	correct	reverse	1
M01715:133:000000000-AF5JT:1:1110:14745:5211	Deletion	68S	675	980	1654	151	119	36	4	correct	reverse	1
M01715:133:000000000-AF5JT:1:2104:19310:6157	Deletion	68S	270	2799	3068	151	114	41	4	correct	reverse	0
M01715:133:000000000-AF5JT:1:2107:4738:19817	Deletion	68L	158	2195	2352	151	98	55	2	correct	reverse	1
M01715:133:000000000-AF5JT:1:1113:27131:14746	Deletion	68S	270	2799	3068	151	91	64	4	correct	forward	1
M01715:133:000000000-AF5JT:1:2101:9300:9050	Deletion	68S	91	2766	2856	148	91	57	0	correct	forward	1
M01715:133:000000000-AF5JT:1:1117:24361:9191	Deletion	68L	56	3042	3097	151	91	59	0	correct	reverse	1
M01715:133:000000000-AF5JT:1:2113:20891:15137	Deletion	68S	270	2799	3068	151	87	68	4	correct	reverse	1
M01715:133:000000000-AF5JT:1:2102:9887:7148	Deletion	68S	270	2799	3068	151	111	44	4	correct	forward	1
M01715:133:000000000-AF5JT:1:1118:23554:9652	Deletion	68L	35	418	452	109	78	40	9	correct	forward	0
M01715:133:000000000-AF5JT:1:1103:26120:19527	Deletion	68L	4652	1530	6181	151	85	66	0	correct	forward	1
M01715:133:000000000-AF5JT:1:2107:20143:20872	Deletion	68S	270	2799	3068	151	120	35	4	correct	reverse	0
M01715:133:000000000-AF5JT:1:1119:16052:24194	Deletion	68L	709	1203	1911	109	69	43	3	correct	forward	1
M01715:133:000000000-AF5JT:1:2117:22085:19732	Deletion	68S	2457	222	2678	151	103	51	3	correct	reverse	1
M01715:133:000000000-AF5JT:1:2111:19136:6155	Deletion	68L	6323	588	6910	151	118	33	0	correct	forward	1
M01715:133:000000000-AF5JT:1:1103:22555:20310	Deletion	68S	190	2599	2788	111	65	50	4	correct	forward	1
M01715:133:000000000-AF5JT:1:1102:9695:18617	Deletion	68L	35	418	452	151	119	41	9	correct	reverse	1
M01715:133:000000000-AF5JT:1:1104:7059:22454	Deletion	68S	412	2655	3066	151	82	72	3	correct	reverse	1
M01715:133:000000000-AF5JT:1:1117:12507:20704	Deletion	68L	5460	1147	6606	109	59	51	1	correct	forward	1
M01715:133:000000000-AF5JT:1:2106:23606:21309	Deletion	68S	408	2660	3067	151	102	50	2	correct	forward	1
M01715:133:000000000-AF5JT:1:2117:20395:13089	Deletion	68L	64	393	456	109	57	51	0	correct	forward	1
M01715:133:000000000-AF5JT:1:1116:11618:9390	Deletion	68S	81	1575	1655	151	78	76	3	correct	forward	1
M01715:133:000000000-AF5JT:1:2102:17929:16540	Deletion	68L	3371	1914	5284	151	91	62	2	correct	reverse	1
M01715:133:000000000-AF5JT:1:2107:12928:13228	Deletion	68L	6418	589	7006	151	91	62	2	correct	forward	1
M01715:133:000000000-AF5JT:1:2111:17090:11286	Deletion	68L	337	1571	1907	151	87	67	3	correct	forward	1
M01715:133:000000000-AF5JT:1:2111:16764:18624	Deletion	68S	270	2799	3068	151	96	59	4	correct	reverse	0
M01715:133:000000000-AF5JT:1:1111:15653:11007	Deletion	68L	6470	353	6822	151	102	49	0	correct	reverse	1
M01715:133:000000000-AF5JT:1:2104:27684:7234	Deletion	68L	35	418	452	109	79	38	8	correct	forward	1
M01715:133:000000000-AF5JT:1:2104:21384:2347	Deletion	68L	35	418	452	151	118	42	9	correct	reverse	1
M01715:133:000000000-AF5JT:1:1118:17255:9419	Deletion	68L	6246	128	6373	151	101	50	0	correct	reverse	1
M01715:133:000000000-AF5JT:1:1108:12290:14839	Deletion	68L	6207	95	6301	109	66	43	0	correct	forward	0
M01715:133:000000000-AF5JT:1:1105:11557:3488	Deletion	68S	413	2653	3065	151	99	53	1	correct	reverse	1
M01715:133:000000000-AF5JT:1:2118:14933:6579	Deletion	68L	33	754	786	151	118	35	2	correct	reverse	1
M01715:133:000000000-AF5JT:1:2102:6414:14094	Deletion	68S	412	2655	3066	151	80	73	3	correct	reverse	1
M01715:133:000000000-AF5JT:1:2118:10780:17482	Deletion	68S	270	2799	3068	151	118	37	4	correct	reverse	0
M01715:133:000000000-AF5JT:1:1108:23790:10506	Deletion	68S	270	2799	3068	151	99	56	4	correct	forward	1
M01715:133:000000000-AF5JT:1:2107:16942:8723	Deletion	68L	5556	1035	6590	151	88	64	1	correct	forward	1
M01715:133:000000000-AF5JT:1:2116:23110:4257	Deletion	68S	270	2799	3068	151	86	69	4	correct	reverse	1
M01715:133:000000000-AF5JT:1:1117:20031:2742	Deletion	68S	376	1384	1759	151	109	47	5	correct	reverse	1
M01715:133:000000000-AF5JT:1:2105:27329:18377	Deletion	68S	102	2501	2602	151	108	47	4	correct	reverse	1
M01715:133:000000000-AF5JT:1:1113:11731:12551	Deletion	68L	35	418	452	151	120	40	9	correct	reverse	1
M01715:133:000000000-AF5JT:1:1107:5736:13635	Deletion	68S	320	1365	1684	110	86	30	6	correct	forward	1
M01715:133:000000000-AF5JT:1:2112:23198:8974	Deletion	68L	35	418	452	109	81	37	9	correct	forward	0
M01715:133:000000000-AF5JT:1:1112:14283:13719	Deletion	68S	291	49	339	109	77	43	11	correct	forward	1
M01715:133:000000000-AF5JT:1:2118:13352:14359	Deletion	68S	270	2799	3068	151	110	45	4	correct	reverse	0
M01715:133:000000000-AF5JT:1:2102:22694:11641	Deletion	68S	270	2799	3068	151	91	64	4	correct	reverse	0
M01715:133:000000000-AF5JT:1:1114:17365:16017	Deletion	68S	412	2655	3066	151	76	78	3	correct	reverse	1
M01715:133:000000000-AF5JT:1:2103:19468:9230	Deletion	68L	5974	109	6082	151	96	55	0	correct	reverse	1
M01715:133:000000000-AF5JT:1:1110:5932:4756	Deletion	68L	35	418	452	109	78	40	9	correct	forward	0
M01715:133:000000000-AF5JT:1:1114:6632:4973	Deletion	68L	5170	875	6055	151	96	57	2	correct	reverse	1
M01715:133:000000000-AF5JT:1:1105:18187:5071	Deletion	68S	99	1568	1666	151	94	62	5	correct	reverse	1
M01715:133:000000000-AF5JT:1:2104:2352:9498	Deletion	68L	422	864	1285	76	42	38	4	correct	forward	1
M01715:133:000000000-AF5JT:1:2115:12056:8677	Deletion	68S	627	612	1238	151	95	59	3	correct	forward	1
M01715:133:000000000-AF5JT:1:1115:20339:10775	Deletion	68S	706	1899	2604	109	69	43	3	correct	forward	1
M01715:133:000000000-AF5JT:1:2107:12568:16638	Deletion	68S	270	2799	3068	146	108	42	4	correct	reverse	1
M01715:133:000000000-AF5JT:1:1111:16531:21082	Deletion	68S	258	2021	2278	151	84	73	7	correct	reverse	1
M01715:133:000000000-AF5JT:1:1102:20207:11051	Deletion	68S	412	2655	3066	151	120	33	3	correct	reverse	1
M01715:133:000000000-AF5JT:1:1104:9912:6224	Deletion	68S	116	790	905	151	101	52	2	correct	forward	1
M01715:133:000000000-AF5JT:1:1118:21602:13169	Deletion	68S	1014	1006	2019	151	101	59	9	correct	forward	1
M01715:133:000000000-AF5JT:1:1110:22959:15558	Deletion	68L	336	1568	1903	151	121	33	3	correct	forward	1
M01715:133:000000000-AF5JT:1:2113:16836:5076	Deletion	68S	259	2808	3066	151	80	76	5	correct	forward	1
M01715:133:000000000-AF5JT:1:2101:21919:20708	Deletion	68S	134	1579	1712	151	84	68	1	correct	reverse	1
M01715:133:000000000-AF5JT:1:2107:8086:4992	Deletion	68L	597	1403	1999	151	116	35	0	correct	reverse	1
M01715:133:000000000-AF5JT:1:1107:2125:15575	Deletion	68S	412	2655	3066	151	102	52	3	correct	forward	1
M01715:133:000000000-AF5JT:1:1103:18056:13092	Deletion	68L	5146	931	6076	151	113	38	0	correct	forward	1
M01715:133:000000000-AF5JT:1:2114:25631:9951	Deletion	68S	1394	745	2138	151	93	62	4	correct	reverse	1
M01715:133:000000000-AF5JT:1:1105:2744:15534	Deletion	68L	346	5038	5383	151	115	41	6	correct	reverse	1
M01715:133:000000000-AF5JT:1:2104:22913:8011	Deletion	68S	111	1571	1681	151	116	39	4	correct	reverse	1
M01715:133:000000000-AF5JT:1:2102:12125:10841	Deletion	68S	270	2799	3068	151	82	73	4	correct	reverse	1
M01715:133:000000000-AF5JT:1:2107:10667:6493	Deletion	68S	177	2889	3065	147	112	38	3	correct	forward	1
M01715:133:000000000-AF5JT:1:2105:12999:9827	Deletion	68L	35	418	452	151	119	40	9	correct	forward	1
M01715:133:000000000-AF5JT:1:1119:13576:24095	Deletion	68S	441	496	936	151	127	31	7	correct	forward	1
M01715:133:000000000-AF5JT:1:1117:11164:20421	Deletion	68L	6306	128	6433	123	89	35	1	correct	forward	1
